"","airport","airport_name","carrier_name","arr_delay","arr_flights","avg_delay"
"1","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Air Wisconsin Airlines Corp",1921,118,16.2796610169492
"2","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allegiant Air",33458,1643,20.3639683505782
"3","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Endeavor Air Inc.",4386,657,6.67579908675799
"4","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Envoy Air",550,69,7.97101449275362
"5","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","PSA Airlines Inc.",12828,1096,11.7043795620438
"6","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Piedmont Airlines",920,31,29.6774193548387
"7","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Republic Airline",158,1,158
"8","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","SkyWest Airlines Inc.",17726,942,18.8174097664544
"9","ABI","Abilene, TX: Abilene Regional","Envoy Air",9935,1361,7.29977957384276
"10","ABQ","Albuquerque, NM: Albuquerque International Sunport","Alaska Airlines Network",5900,621,9.50080515297907
"11","ABQ","Albuquerque, NM: Albuquerque International Sunport","American Airlines Network",58119,3339,17.4061096136568
"12","ABQ","Albuquerque, NM: Albuquerque International Sunport","CommuteAir LLC dba CommuteAir",1805,85,21.2352941176471
"13","ABQ","Albuquerque, NM: Albuquerque International Sunport","Delta Air Lines Network",12644,1584,7.98232323232323
"14","ABQ","Albuquerque, NM: Albuquerque International Sunport","Envoy Air",5330,702,7.59259259259259
"15","ABQ","Albuquerque, NM: Albuquerque International Sunport","Frontier Airlines",41,1,41
"16","ABQ","Albuquerque, NM: Albuquerque International Sunport","Horizon Air",305,111,2.74774774774775
"17","ABQ","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways",8027,217,36.9907834101382
"18","ABQ","Albuquerque, NM: Albuquerque International Sunport","Mesa Airlines Inc.",10781,485,22.2288659793814
"19","ABQ","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.",20815,3448,6.03683294663573
"20","ABQ","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines",109579,10976,9.98350947521866
"21","ABQ","Albuquerque, NM: Albuquerque International Sunport","Spirit Airlines",4929,374,13.1791443850267
"22","ABQ","Albuquerque, NM: Albuquerque International Sunport","United Air Lines Network",35022,2263,15.4759169244366
"23","ABR","Aberdeen, SD: Aberdeen Regional","SkyWest Airlines Inc.",5469,725,7.54344827586207
"24","ABY","Albany, GA: Southwest Georgia Regional","Endeavor Air Inc.",5221,698,7.47994269340974
"25","ABY","Albany, GA: Southwest Georgia Regional","SkyWest Airlines Inc.",1179,116,10.1637931034483
